,um_id,userid,name,movieid
3481,1209750800,12097,立青,50800
3482,1209952445,12099,玉兔捣药,52445
3483,1210250804,12102,底底,50804
3484,1210353356,12103,二元里美,53356
3485,1210352347,12103,二元里美,52347
3486,1210354281,12103,二元里美,54281
3487,1210552463,12105,cc陈澈,52463
3488,1210752480,12107,Keggy,52480
3489,1210750813,12107,Keggy,50813
3490,1210853194,12108,柳馧怡,53194
3491,1210852734,12108,柳馧怡,52734
3492,1210852965,12108,柳馧怡,52965
3493,1210851579,12108,柳馧怡,51579
3494,1210851039,12108,柳馧怡,51039
3495,1210950814,12109,vickyh1203,50814
3496,1211050815,12110,甜吗,50815
3497,1211053522,12110,甜吗,53522
3498,1211152156,12111,Mu.Knight,52156
3499,1211253039,12112,沫沫,53039
3500,1211351019,12113,素小。望,51019
3501,1211352837,12113,素小。望,52837
3502,1211352581,12113,素小。望,52581
3503,1211450817,12114,小海豚,50817
3504,1211951005,12119,地塞米松磷酸钠注射液,51005
3505,1212050821,12120,A、,50821
3506,1212153443,12121,胖蒙不许胖,53443
3507,1212254319,12122,Alice49,54319
3508,1212253076,12122,Alice49,53076
3509,1212350823,12123,请叫我玛格丽特,50823
3510,1212553487,12125,爱吃肉的胖兔子,53487
3511,1212650827,12126,时光如梭,50827
3512,1212651495,12126,时光如梭,51495
3513,1212651894,12126,时光如梭,51894
3514,1213050955,12130,罗00,50955
3515,1213350830,12133,富贵专用铲屎官,50830
3516,1213453974,12134,yotine,53974
3517,1213553678,12135,cici_be,53678
3518,1213653428,12136,番茄炒鸡蛋,53428
3519,1213653404,12136,番茄炒鸡蛋,53404
3520,1213752610,12137,春娇小姐,52610
3521,1213750832,12137,春娇小姐,50832
3522,1213951549,12139,卡特,51549
3523,1213951604,12139,卡特,51604
3524,1214051058,12140,李墨晗,51058
3525,1214051594,12140,李墨晗,51594
3526,1214054420,12140,李墨晗,54420
3527,1214151657,12141,裘千尺本尺,51657
3528,1214550835,12145,参商,50835
3529,1214553540,12145,参商,53540
3530,1214653090,12146,sungcho,53090
3531,1214653475,12146,sungcho,53475
3532,1214650836,12146,sungcho,50836
3533,1214653482,12146,sungcho,53482
3534,1214853399,12148,泡芙,53399
3535,1215051730,12150,ChasinMe,51730
3536,1215151859,12151,淡鱼,51859
3537,1215152048,12151,淡鱼,52048
3538,1215154316,12151,淡鱼,54316
3539,1215153495,12151,淡鱼,53495
3540,1215354377,12153,yomukie,54377
3541,1215550844,12155,isabel,50844
3542,1215551335,12155,isabel,51335
3543,1215551208,12155,isabel,51208
3544,1215751160,12157,大神,51160
3545,1215854154,12158,涛侠,54154
3546,1215851458,12158,涛侠,51458
3547,1215851881,12158,涛侠,51881
3548,1215852804,12158,涛侠,52804
3549,1215950847,12159,新小明vamos_,50847
3550,1215953800,12159,新小明vamos_,53800
3551,1216450856,12164,Oct.,50856
3552,1216552059,12165,Wang's,52059
3553,1216554042,12165,Wang's,54042
3554,1216554152,12165,Wang's,54152
3555,1216551098,12165,Wang's,51098
3556,1216751015,12167,北北北,51015
3557,1216851941,12168,圣彼得堡不插电,51941
3558,1216853874,12168,圣彼得堡不插电,53874
3559,1216953359,12169,Chicago,53359
3560,1216951508,12169,Chicago,51508
3561,1217051678,12170,吴了安,51678
3562,1217150859,12171,佐佐Max,50859
3563,1217353617,12173,yier,53617
3564,1217351568,12173,yier,51568
3565,1217453690,12174,呆C～,53690
3566,1217654131,12176,张不静,54131
3567,1217751757,12177,当风吹过发隙,51757
3568,1217852214,12178,夏寞熙Baby,52214
3569,1218152803,12181,Miss 吉吉,52803
3570,1218250865,12182,苏丽珍,50865
3571,1218252088,12182,苏丽珍,52088
3572,1218251230,12182,苏丽珍,51230
3573,1218453949,12184,a,53949
3574,1218454271,12184,a,54271
3575,1218752714,12187,兔子不吃窝边草,52714
3576,1218753599,12187,兔子不吃窝边草,53599
3577,1218950931,12189,木头不是他舅,50931
3578,1219151892,12191,勖勖终笙,51892
3579,1219153797,12191,勖勖终笙,53797
3580,1219150873,12191,勖勖终笙,50873
3581,1219253302,12192,狄安,53302
3582,1219252393,12192,狄安,52393
3583,1219254156,12192,狄安,54156
3584,1219250874,12192,狄安,50874
3585,1219350878,12193,一个人跳舞,50878
3586,1219453710,12194,可巴盖帝,53710
3587,1219451119,12194,可巴盖帝,51119
3588,1219551865,12195,wmjasmine,51865
3589,1219751569,12197,刘小二,51569
3590,1219753498,12197,刘小二,53498
3591,1219753673,12197,刘小二,53673
3592,1220050885,12200,hyacinth,50885
3593,1220051922,12200,hyacinth,51922
3594,1220450886,12204,友阪美露,50886
3595,1220451416,12204,友阪美露,51416
3596,1220453501,12204,友阪美露,53501
3597,1220452619,12204,友阪美露,52619
3598,1220754303,12207,die Katze,54303
3599,1220850985,12208,Magic,50985
3600,1220854351,12208,Magic,54351
3601,1220950888,12209,正版青玖玖,50888
3602,1220954198,12209,正版青玖玖,54198
