source,target,wight
11900,10115,8.08745799025788
12085,10545,1.0
10430,10115,10.012021643290916
10430,10545,15.601529024770313
10430,10095,18.015093964441796
10430,11689,14.505284310891712
10430,10019,1.0
10430,13022,6.565321642986127
10430,12966,1.0
10430,11728,1.0
10430,12327,1.0
11474,10115,9.843740386976972
11474,10545,15.33929977694741
11474,10347,14.659886790209342
11474,11689,7.130740328122926
11474,13059,1.0
11474,10115,9.843740386976972
11474,13375,1.0
10296,10019,1.0
10296,10115,13.458343602478031
10296,13375,1.0
12041,11715,1.0
12041,10415,14.81668148335556
12041,10018,11.236664374387368
12041,10869,6.565321642986127
12041,12422,1.0
12041,10019,1.0
12041,12566,2.3338001400466832
12041,10109,4.969039949999533
12041,11847,12.42259987499883
12041,10545,14.0028008402801
12041,13162,1.0
12041,13059,1.0
12041,10527,4.914731871829905
12041,11276,10.814761408717503
12041,12859,1.0
12041,10180,6.565321642986127
12041,10347,15.29438225803745
12041,10095,10.105651043180542
12041,10898,12.909944487358057
12041,12529,14.14791146045276
12041,11295,10.0
12041,10115,8.986064433619868
12041,12530,8.333333333333332
12041,11633,3.4020690871988584
12041,11728,1.0
12041,10018,11.236664374387368
13105,10545,1.0
13105,10019,1.0
10274,10018,19.668431441216498
10274,10019,1.0
12902,10019,1.0
12902,11728,1.0
12902,10545,1.0
13253,10115,1.0
